index,상호명,상권업종소분류명,시도명,시군구명,행정동명,지번주소,도로명주소,층정보,경도,위도
0,양평슈퍼,수퍼마켓,서울특별시,광진구,군자동,서울특별시 광진구 군자동 349-9번지 ,"서울특별시 광진구 동일로36길 23, (군자동)",1,127.0700397,37.55129168
1,메가마트물류센터,수퍼마켓,서울특별시,금천구,시흥3동,서울특별시 금천구 시흥동 984-33번지 ,"서울특별시 금천구 시흥대로27길 32, (시흥동)",1,126.9015607,37.44079089
2,롯데슈퍼,수퍼마켓,서울특별시,성동구,행당1동,서울특별시 성동구 행당동 140번지 ,"서울특별시 성동구 고산자로6길 40, (행당동)",1,127.0354558,37.55816854
3,훼밀리마트,수퍼마켓,서울특별시,강남구,압구정동,서울특별시 강남구 신사동 588-14번지 ,"서울특별시 강남구 논현로152길 38, (신사동)",1,127.0312326,37.52155137
4,뉴디즈니,수퍼마켓,서울특별시,구로구,오류2동,서울특별시 구로구 오류동 297-6번지 ,"서울특별시 구로구 오리로 1163, (오류동)",2,126.8377683,37.48759382
5,제일슈퍼,수퍼마켓,서울특별시,금천구,시흥4동,서울특별시 금천구 시흥동 817-29번지 시흥아파트 ,"서울특별시 금천구 독산로24나길 13, (시흥동, 시흥아파트)",,126.9075108,37.45592066
6,에이스힐인마트,수퍼마켓,서울특별시,서초구,서초1동,서울특별시 서초구 서초동 1638-11번지 ,"서울특별시 서초구 서초중앙로22길 105, (서초동)",1,127.0195493,37.49452248
7,롯데쇼핑롯데마켓999점,수퍼마켓,서울특별시,강남구,역삼2동,서울특별시 강남구 역삼동 770-11번지 ,"서울특별시 강남구 역삼로 230, (역삼동)",1,127.04191,37.49692255
8,아시아마트,수퍼마켓,서울특별시,금천구,가산동,서울특별시 금천구 가산동 148-12번지 ,"서울특별시 금천구 시흥대로149가길 10, (가산동)",1,126.8954534,37.47571278
9,삼성마트,수퍼마켓,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성동 34-25번지 ,"서울특별시 강남구 선릉로 628, (삼성동)",1,127.0432253,37.51260256
10,장한평유통,수퍼마켓,서울특별시,동대문구,장안1동,서울특별시 동대문구 장안동 166-1,서울특별시 동대문구 답십리로66길 76,,127.06652,37.56943805
11,홈플러스익스프레스도화점,수퍼마켓,서울특별시,마포구,도화동,서울특별시 마포구 도화동 353번지 현대홈타운 ,"서울특별시 마포구 새창로8길 72, (도화동, 현대홈타운)",1,126.9511127,37.53870769
12,하나수퍼,수퍼마켓,서울특별시,양천구,신정3동,서울특별시 양천구 신정동 1197-1번지 일광파크빌 ,"서울특별시 양천구 중앙로45길 37, (신정동, 일광파크빌)",1,126.8488243,37.52165328
